Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Streams,Playlist_count,Playlist_reach,Popularity,Explicit Track
Escapism.,Escapism. / The Thrill Is Gone.,RAYE,2022-12-10 00:00:00,190,110.1,804925777,128247,62532855,75.0,1
Stargazing,Stargazing,Myles Smith,2024-10-05 00:00:00,191,109.8,106599323,9406,164949597,87.0,0
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,Unknown,192,109.7,971473231,239671,77479207,78.0,1
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,2020-03-07 00:00:00,193,109.5,1125681368,251023,32574699,72.0,1
Memories,Memories,Maroon 5,Unknown,194,109.3,2011072164,222804,49920599,77.0,0
Classy 101,Classy 101,Feid,Unknown,195,109.1,872148396,90726,70485920,78.0,1
Whatever,Whatever,Kygo,Unknown,196,109.0,222354971,17551,159961203,83.0,0
Whatever She Wants,Whatever She Wants,Bryson Tiller,Unknown,197,108.4,207093873,23181,114051028,87.0,1
Vois sur ton chemin - Techno Mix,Vois sur ton chemin (Techno Mix),BENNETT,2023-04-08 00:00:00,198,107.8,361517395,119783,95312340,80.0,0
"yes, and?","yes, and?",Ariana Grande,2024-12-01 00:00:00,199,107.5,416813996,22468,101875097,0.0,1
Without Me,Without Me,Halsey,2018-04-10 00:00:00,200,107.4,2042792456,198888,69311277,75.0,1
meet the grahams,meet the grahams,Kendrick Lamar,2024-03-05 00:00:00,201,107.3,65520394,8933,15896982,0.0,1
First Person Shooter (feat. J. Cole),For All The Dogs,Drake,2023-06-10 00:00:00,202,107.1,328526298,72252,68612350,0.0,1
Shallow,Shallow,Lady Gaga,Unknown,204,106.9,2447973078,221822,90174192,78.0,0
Thunder,Thunder,Imagine Dragons,Unknown,203,106.9,2384768901,244951,88329475,79.0,0
Rush,Rush,Ayra Starr,Unknown,205,106.4,371886608,98009,19411516,67.0,0
abcdefu,abcdefu,GAYLE,Unknown,206,106.2,1128273165,193857,61311826,70.0,1
Buga,Buga,Kizz Daniel,2022-03-05 00:00:00,208,105.8,86516910,30835,3440925,57.0,0
Bad Habit,Bad Habit,Steve Lacy,Unknown,207,105.8,1087938471,220515,63054597,73.0,1
MONEY,LALISA,LISA,2021-10-09 00:00:00,210,105.5,1189335848,103236,33637835,73.0,1
Columbia,Columbia,Quevedo,2023-07-07 00:00:00,209,105.5,721002940,84161,56226278,79.0,0
LADY GAGA,LADY GAGA,Peso Pluma,Unknown,212,105.2,684204777,48370,25130304,78.0,1
Woman,Planet Her,Doja Cat,Unknown,211,105.2,1606950381,217443,95985096,78.0,1
CUFF IT,RENAISSANCE,Beyonc ,Unknown,213,104.9,795960535,100204,68659216,73.0,1
KING KONG,KING KONG,TREASURE,Unknown,214,104.5,8078265,207,12311489,68.0,0
How You Like That,How You Like That,BLACKPINK,Unknown,215,104.5,1033109188,82170,21177170,68.0,0
Milf Song,Milf Song,The Puddleducks,Unknown,216,104.5,1165982,1176,23110,28.0,0
Nasty,Nasty,Tinashe,2024-12-04 00:00:00,217,104.4,31612906,3887,106475497,76.0,0
Superhero (Heroes & Villains),HEROES & VILLAINS,Metro Boomin,2022-02-12 00:00:00,218,104.4,706356280,166277,62975073,77.0,1
Panda,Panda,Desiigner,Unknown,219,104.2,1181348550,170002,34000497,62.0,1
Push Ups,Push Ups,Drake,Unknown,220,103.9,107762230,14601,74447627,0.0,1
Tattoo,Tattoo,Loreen,Unknown,221,103.9,518846340,83033,48268736,77.0,0
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,2021-09-04 00:00:00,222,103.4,1823871908,262313,116916147,76.0,1
What It Is (Block Boy) (with Kodak Black),What It Is (Versions),Doechii,Unknown,223,103.3,102772879,29487,4775168,61.0,1
Gata Only,Gata Only - Single,FloyyMenor,Unknown,224,103.1,4674619,1841,61398,0.0,0
Illusion,Illusion,Dua Lipa,2024-11-04 00:00:00,225,103.1,108501771,7430,117576704,12.0,1
drivers license,drivers license,Olivia Rodrigo,2021-08-01 00:00:00,226,102.9,2184754018,250778,70173770,79.0,1
Used To Be Young,Endless Summer Vacation,Miley Cyrus,Unknown,227,102.4,205468104,30639,39407660,69.0,0
Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,Unknown,229,102.3,861388470,103040,37365896,48.0,0
How Sweet,How Sweet,NewJeans,Unknown,228,102.3,33595707,1940,36883184,79.0,0
Players,Players,Coi Leray,Unknown,230,101.8,465588517,91658,60607887,67.0,1
rockstar (feat. 21 Savage),rockstar,Post Malone,Unknown,231,101.8,2960046642,352745,82442565,77.0,1
Lil Somethin Somethin,Lil Somethin Somethin,Vayah,2023-11-03 00:00:00,232,101.5,11648,6,2392,0.0,1
Con Calma,Con Calma,Daddy Yankee,Unknown,236,101.4,1353028938,160122,52701166,73.0,0
Here With Me,Here With Me,d4vd,Unknown,234,101.4,1042311849,154178,58833842,80.0,0
Favorite Song,Favorite Song,Toosii,Unknown,235,101.4,186579651,45668,6252506,62.0,0
Si No Quieres No,Si No Quieres No - Single,Luis R Conriquez,2024-09-03 00:00:00,233,101.4,158131138,5423,71590238,85.0,0
